고객ID,feature
200561451,"[0.0, 0.0, 0.0, 0.2430070590633481, 0.0, 0.0, 0.0, 0.7569929409366519]"
200561638,"[0.0, 0.0, 0.0, 0.33926390155563885, 0.0, 0.0, 0.0, 0.6607360984443612]"
200563365,"[0.0, 0.0, 0.6409643418054161, 0.22759700106875713, 0.0, 0.0, 0.06001729934459037, 0.0714213577812365]"
200565504,"[0.0, 0.0, 0.0, 0.14132469947343387, 0.7210562816511014, 0.0, 0.0, 0.13761901887546474]"
200566055,"[0.0, 0.0, 0.0, 0.09482405906762961, 0.0, 0.0, 0.6310585457291783, 0.27411739520319217]"
200567380,"[0.0, 0.2559460490136078, 0.7088938516646143, 0.0, 0.0, 0.0, 0.0, 0.035160099321778]"
200568863,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200568976,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200569480,"[0.04844663606038896, 0.08153695551625137, 0.7155502611895546, 0.05224673065461406, 0.0, 0.0, 0.029667586966581547, 0.07255182961260953]"
200574266,"[0.27852529445566726, 0.6036392367436287, 0.0, 0.03112277024789473, 0.0, 0.0, 0.042875713699965415, 0.04383698485284387]"
200574679,"[0.0, 0.0, 0.0, 0.32738545674364966, 0.0, 0.0, 0.5234496449519814, 0.1491648983043689]"
200575454,"[0.0, 0.825859683675762, 0.0, 0.08847308381260632, 0.0, 0.0, 0.06000097207871569, 0.025666260432915942]"
200576393,"[0.32538946691710435, 0.0, 0.0, 0.08233291877995505, 0.0, 0.0, 0.2276501695830508, 0.36462744471988984]"
200578893,"[0.0, 0.0, 0.0, 0.3563107094914583, 0.5357287452686311, 0.0, 0.0, 0.10796054523991054]"
200579356,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
200580102,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
200581851,"[0.0, 0.0, 0.0, 0.12411863672792973, 0.7541713873112831, 0.0, 0.0, 0.12170997596078717]"
200583445,"[0.0, 0.049638848188109076, 0.19459233833545542, 0.08495838706195981, 0.2948167517235211, 0.15854922252711162, 0.07634644916650671, 0.14109800299733624]"
200585345,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
200586068,"[0.0, 0.0, 0.0, 0.20251432684696416, 0.4992694419150304, 0.0, 0.2029269001562277, 0.09528933108177767]"
200586089,"[0.881048655233881, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11895134476611889]"
200588804,"[0.0, 0.0, 0.0, 0.1805317129213589, 0.7231401980104678, 0.0, 0.0, 0.09632808906817322]"
200589003,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200589270,"[0.09772699222846164, 0.16167892176447327, 0.0, 0.25637649434864446, 0.2579886905664008, 0.0, 0.10120558336343934, 0.12502331772858044]"
200589969,"[0.24654376572579526, 0.12875316409882012, 0.0, 0.10482847411253308, 0.17908573289717228, 0.0, 0.08165460561423088, 0.2591342575514483]"
200592659,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200593197,"[0.0, 0.0, 0.0, 0.10547400165048135, 0.11224116854982677, 0.7734811996117903, 0.0, 0.008803630187901488]"
200593353,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200598646,"[0.0, 0.0, 0.0, 0.33062672658338355, 0.227215563024355, 0.0, 0.36392266963719216, 0.07823504075506937]"
200599149,"[0.0, 0.0, 0.0, 0.23225529960318683, 0.0, 0.0, 0.0, 0.7677447003968132]"
200600568,"[0.0, 0.0, 0.0, 0.3221650958710863, 0.0, 0.0, 0.38070169872775483, 0.29713320540115873]"
200600943,"[0.06314754789809934, 0.7308620360452124, 0.0, 0.030060340432624878, 0.04105582376338011, 0.0, 0.03662714243061949, 0.0982471094300638]"
200601120,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200601605,"[0.0, 0.0, 0.0, 0.037425491869613144, 0.0, 0.0, 0.0, 0.9625745081303868]"
200602989,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
200603327,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200604401,"[0.0, 0.0, 0.9372511354215937, 0.04337969279015828, 0.0, 0.0, 0.0, 0.019369171788248207]"
200605399,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
200606681,"[0.4587587608510981, 0.0, 0.0, 0.039894711224750495, 0.0694710086733336, 0.0, 0.38405206357984284, 0.04782345567097484]"
200607823,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200610004,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200612391,"[0.0, 0.0, 0.0, 0.39738775387893926, 0.0, 0.0, 0.6026122461210607, 0.0]"
200617522,"[0.0, 0.21982206904840848, 0.11734022204410496, 0.024154096306956006, 0.19184370261938744, 0.2819152675829975, 0.10687393333354503, 0.0580507090646005]"
200617623,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200618826,"[0.2956603200154068, 0.04857449392595626, 0.24879281810953988, 0.08776195608673634, 0.0429415248788931, 0.0, 0.0, 0.2762688869834675]"
200619935,"[0.0, 0.0, 0.33257235210093966, 0.10759458385636404, 0.24646481444371043, 0.0, 0.1454003590608754, 0.16796789053811045]"
200619971,"[0.0, 0.8049405869697468, 0.0, 0.19505941303025315, 0.0, 0.0, 0.0, 0.0]"
200620176,"[0.0, 0.0, 0.0, 0.19813652318889555, 0.8018634768111045, 0.0, 0.0, 0.0]"
200620363,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200621301,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200621988,"[0.0, 0.20714629027189624, 0.7281665253272697, 0.0106413480488695, 0.0, 0.0, 0.045528822586880624, 0.008517013765083958]"
200626351,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200627000,"[0.0, 0.0, 0.0, 0.9221430525720722, 0.0, 0.0, 0.0, 0.07785694742792784]"
200627012,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
200628064,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200629290,"[0.08331187581586894, 0.08674050787609794, 0.0, 0.08918579220784799, 0.3485216717728244, 0.0, 0.3306536787002091, 0.06158647362715162]"
200629507,"[0.0, 0.0, 0.0, 0.4906329490574008, 0.0, 0.0, 0.0, 0.5093670509425992]"
200630897,"[0.5030896508075708, 0.25180555216257483, 0.0, 0.021346938956882403, 0.11424532510594443, 0.0, 0.052958238684617256, 0.05655429428241006]"
200631909,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
200632030,"[0.0, 0.0, 0.0, 0.390041087942774, 0.0, 0.0, 0.24161596442638458, 0.3683429476308415]"
200634125,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
200634584,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
200636416,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200636431,"[0.0, 0.0, 0.0, 0.0635660243995123, 0.5188781863684708, 0.0, 0.23145346377401282, 0.1861023254580041]"
200638959,"[0.0, 0.4584144041408653, 0.0, 0.30632857392737256, 0.0, 0.0, 0.0, 0.23525702193176212]"
200640760,"[0.0, 0.0, 0.0, 0.09898061614135689, 0.27672742426124447, 0.4017281485449422, 0.16200783438356178, 0.0605559766688946]"
200641502,"[0.0, 0.28441464809265127, 0.0, 0.19591475742519088, 0.10963235635741282, 0.0, 0.2533817482651011, 0.15665648985964395]"
200641689,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
200641967,"[0.0, 0.0, 0.0, 0.7334491687366479, 0.0, 0.0, 0.0, 0.26655083126335205]"
200643282,"[0.0, 0.0, 0.0, 0.12194569741366185, 0.8780543025863382, 0.0, 0.0, 0.0]"
200646208,"[0.0, 0.14567606007328654, 0.49894316303974756, 0.0771898195477617, 0.0, 0.0, 0.19763060560847687, 0.08056035173072726]"
200646539,"[0.643248061009603, 0.0, 0.0, 0.15995617164404957, 0.0, 0.0, 0.0, 0.19679576734634754]"
200646767,"[0.0, 0.0, 0.0, 0.05779440311110828, 0.13675940175904772, 0.0, 0.7420668321328693, 0.06337936299697469]"
200648413,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
200650207,"[0.0, 0.0, 0.0, 0.04889817942094411, 0.47695889077325687, 0.0, 0.0, 0.4741429298057991]"
200653133,"[0.3213325499747806, 0.0, 0.0, 0.13711913448964563, 0.2519944299775894, 0.0, 0.1124059272529385, 0.17714795830504593]"
200653541,"[0.47707033550579975, 0.0, 0.0, 0.14001340666606188, 0.2812803744291103, 0.0, 0.0, 0.10163588339902821]"
200653631,"[0.3355074187010195, 0.14794185892136538, 0.0, 0.1062335103824729, 0.10898248454687479, 0.0, 0.14091760870081627, 0.1604171187474513]"
200653652,"[0.0, 0.0, 0.0, 0.8031659536623367, 0.0, 0.0, 0.0, 0.19683404633766333]"
200656634,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
200656974,"[0.0, 0.0, 0.0, 0.1545228441050923, 0.7315704427656498, 0.0, 0.0, 0.1139067131292579]"
200657876,"[0.0, 0.0, 0.0, 0.13875870889990452, 0.5314991591916368, 0.0, 0.0, 0.3297421319084587]"
200658876,"[0.0, 0.3375672496917493, 0.0, 0.27587194848179647, 0.0, 0.0, 0.15622867242895355, 0.23033212939750064]"
200659427,"[0.0, 0.0, 0.0, 0.030352718194165726, 0.0, 0.9312801774884302, 0.0383671043174041, 0.0]"
200659696,"[0.0, 0.0, 0.0, 0.6421874986416689, 0.0, 0.0, 0.35781250135833115, 0.0]"
200659836,"[0.0, 0.8254895128339704, 0.0, 0.1194855788043079, 0.0, 0.0, 0.05502490836172177, 0.0]"
200660049,"[0.168274354960494, 0.44404988268020734, 0.0, 0.07096377422711324, 0.1319636002062171, 0.0, 0.11772872000492303, 0.06701966792104526]"
200662013,"[0.0, 0.0, 0.0, 0.46428719674408997, 0.0, 0.0, 0.14033270524844088, 0.39538009800746915]"
200663518,"[0.0, 0.0, 0.0, 0.0, 0.7880625164033551, 0.0, 0.0, 0.21193748359664485]"
200663557,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200664485,"[0.08249369795020865, 0.0, 0.0, 0.03865902861889787, 0.0, 0.7114133929339967, 0.0, 0.16743388049689678]"
200665436,"[0.1556690463602238, 0.0, 0.0, 0.16381170132583908, 0.0, 0.0, 0.4549371703937019, 0.2255820819202351]"
200666460,"[0.10281200549470622, 0.1662704374794645, 0.0, 0.049428541962898684, 0.0, 0.5024100499262137, 0.06901841266080329, 0.11006055247591344]"
200666557,"[0.3917964521599763, 0.19510529188113093, 0.0, 0.2996361581805287, 0.0, 0.0, 0.0, 0.11346209777836405]"
200667107,"[0.0, 0.0, 0.0, 0.0, 0.7000422806181352, 0.0, 0.0, 0.29995771938186483]"
200669233,"[0.09314221258119872, 0.0, 0.7519881658474242, 0.08380300077481188, 0.0, 0.0, 0.0, 0.07106662079656523]"
200671243,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200672216,"[0.36005522248080224, 0.0, 0.0, 0.05385464498538134, 0.0, 0.0, 0.33219232158452255, 0.253897810949294]"
200673511,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
200674522,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
200675040,"[0.0, 0.6894063076333508, 0.0, 0.04394428346559508, 0.19101462235541736, 0.0, 0.0, 0.0756347865456368]"
200675094,"[0.17150271036043882, 0.0, 0.3274475133835936, 0.108436137229652, 0.17614628324125553, 0.0, 0.13927602561468314, 0.0771913301703769]"
200676073,"[0.0, 0.0, 0.0, 0.050395520512840235, 0.7853268010939377, 0.0, 0.13537110754464265, 0.028906570848579397]"
200676949,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
200677918,"[0.0, 0.4568603409904945, 0.0, 0.28308564725645075, 0.0, 0.0, 0.0, 0.26005401175305476]"
200680633,"[0.09888912193826799, 0.05029652280123003, 0.2220745509837329, 0.6052643214408867, 0.0, 0.0, 0.0, 0.023475482835882362]"
200682596,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200685557,"[0.5573760645029293, 0.0, 0.0, 0.22842641309137546, 0.0, 0.0, 0.0, 0.21419752240569523]"
200686359,"[0.0, 0.0, 0.0, 0.42118651294740395, 0.0, 0.0, 0.0, 0.578813487052596]"
200686860,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200690665,"[0.0, 0.0, 0.0, 0.4488779269065086, 0.0, 0.0, 0.10584546937424191, 0.4452766037192495]"
200690725,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200690742,"[0.0, 0.0, 0.0, 0.1341426923127624, 0.6834237437226878, 0.0, 0.06159301203058188, 0.12084055193396788]"
200691821,"[0.0, 0.0, 0.5853254811375254, 0.09036548463107387, 0.0, 0.0, 0.2144905752383245, 0.10981845899307624]"
200692320,"[0.0, 0.0, 0.0, 0.15633013167872337, 0.5653526492967261, 0.0, 0.08241378711569794, 0.19590343190885257]"
200694592,"[0.06512057529199977, 0.0, 0.0, 0.028226094558222496, 0.06600202358414449, 0.0, 0.8230673060523576, 0.017584000513275595]"
200694933,"[0.0, 0.0, 0.0, 0.4213373854915389, 0.4430594402948196, 0.0, 0.04711226676060336, 0.08849090745303811]"
200695494,"[0.0, 0.4292484414757452, 0.0, 0.25808870395773065, 0.0, 0.0, 0.31266285456652415, 0.0]"
200696152,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
200696496,"[0.22200218518549866, 0.0, 0.0, 0.12202884057846498, 0.2287491747845027, 0.0, 0.20482252912618157, 0.2223972703253522]"
200697576,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
200698740,"[0.6902645682148397, 0.0, 0.0, 0.3097354317851602, 0.0, 0.0, 0.0, 0.0]"
200699451,"[0.0, 0.0, 0.0, 0.28636991739624523, 0.0, 0.0, 0.7136300826037547, 0.0]"
200699626,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200699873,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200700641,"[0.4145910691579022, 0.0, 0.0, 0.1282877245491614, 0.0, 0.0, 0.0, 0.4571212062929363]"
200701278,"[0.0, 0.28913135767203113, 0.0, 0.10744865153826315, 0.3131605156273934, 0.0, 0.2074051048062011, 0.08285437035611125]"
200702076,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
200703895,"[0.0, 0.501110849659734, 0.0, 0.07490458469712721, 0.05053683146205917, 0.0, 0.14999502659462358, 0.2234527075864561]"
200712057,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
200712704,"[0.0, 0.6265452519359002, 0.0, 0.18142191194748575, 0.0, 0.0, 0.12363723309092453, 0.06839560302568948]"
200713270,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200714458,"[0.0, 0.8304900911489769, 0.0, 0.059283798566567625, 0.0, 0.0, 0.0, 0.11022611028445545]"
200715042,"[0.0, 0.0, 0.0, 0.23609761333956203, 0.6127093793747493, 0.0, 0.0, 0.15119300728568863]"
200715233,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
200715258,"[0.0, 0.0, 0.8536590187533603, 0.0, 0.0, 0.0, 0.11327188006906476, 0.03306910117757503]"
200715280,"[0.04424204459860637, 0.14635802468773532, 0.0, 0.019337918371932546, 0.0, 0.6384679905089604, 0.02158895810607094, 0.13000506372669432]"
200715934,"[0.0, 0.41761672848919834, 0.0, 0.0, 0.41609976712582364, 0.0, 0.0, 0.16628350438497794]"
200716271,"[0.41688030758774297, 0.0, 0.0, 0.2920733500606051, 0.10897486678281866, 0.0, 0.1029620365246467, 0.07910943904418663]"
200717476,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
200718489,"[0.0, 0.0, 0.276771792203878, 0.31037619323181787, 0.06114504501762168, 0.0, 0.05611997609342541, 0.29558699345325706]"
200719409,"[0.0, 0.0, 0.0, 0.16386979305416846, 0.6204000845448266, 0.0, 0.0, 0.21573012240100484]"
200720273,"[0.0, 0.0, 0.0, 0.03865259634048474, 0.9613474036595153, 0.0, 0.0, 0.0]"
200721022,"[0.17814045113981547, 0.3709433512047166, 0.0, 0.18563096869796952, 0.17603932250649634, 0.0, 0.04412062873354682, 0.04512527771745521]"
200721656,"[0.0, 0.10233904730985569, 0.0, 0.10930901353460543, 0.0, 0.5206130722310602, 0.11820565395258766, 0.14953321297189107]"
200721776,"[0.0, 0.0, 0.0, 0.22848667435141698, 0.771513325648583, 0.0, 0.0, 0.0]"
200723078,"[0.22426587984720167, 0.22813012631084256, 0.0, 0.17863093697707952, 0.0879365513390311, 0.0, 0.043859108660562404, 0.23717739686528275]"
200723206,"[0.42294020098909396, 0.0, 0.0, 0.1882813074143142, 0.3316768714256259, 0.0, 0.0, 0.05710162017096587]"
200723338,"[0.0, 0.2368795514849058, 0.0, 0.20689557338341694, 0.22027259997998183, 0.0, 0.21742473350656008, 0.11852754164513536]"
200724025,"[0.0, 0.0, 0.3227980552360869, 0.026110325529708135, 0.06776028408034487, 0.4805845212821302, 0.030225499681286863, 0.07252131419044307]"
200725473,"[0.0, 0.0, 0.0, 0.014358590556976344, 0.0, 0.0, 0.9732904573453861, 0.012350952097637525]"
200726561,"[0.24896384581605532, 0.18950756768751548, 0.0, 0.07916047281692558, 0.12188205516712074, 0.11651008556297514, 0.030331848974992047, 0.21364412397441573]"
200726951,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200727604,"[0.0, 0.0, 0.0, 0.10472588362785377, 0.034045025622698157, 0.7726802645889703, 0.0151862986567194, 0.07336252750375839]"
200728091,"[0.0, 0.0, 0.0, 0.1107029773754825, 0.0, 0.8467568676978164, 0.0, 0.04254015492670112]"
200728456,"[0.0, 0.037847623124489055, 0.8386469624451669, 0.02685042470076183, 0.032022042555988325, 0.0, 0.0, 0.06463294717359394]"
200729805,"[0.0, 0.0, 0.0, 0.028642945921443334, 0.5587736752963234, 0.0, 0.0, 0.4125833787822333]"
200730489,"[0.0, 0.5818226176205756, 0.0, 0.13078002452076298, 0.24133647501778346, 0.0, 0.0, 0.04606088284087795]"
200734900,"[0.22405187885276068, 0.6182981139007167, 0.0, 0.044847644869723285, 0.04576636667360651, 0.0, 0.0, 0.06703599570319287]"
200735736,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200736415,"[0.0, 0.8186576878194961, 0.0, 0.0, 0.0, 0.0, 0.14556132314616801, 0.03578098903433578]"
200736916,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200737379,"[0.0, 0.0, 0.0, 0.6428284037069313, 0.294661548805015, 0.0, 0.0, 0.0625100474880537]"
200738816,"[0.0, 0.0, 0.0, 0.25060381739117693, 0.0, 0.0, 0.0, 0.749396182608823]"
200739751,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200740119,"[0.0, 0.14447457572409014, 0.49311780316540293, 0.1715698008370099, 0.0, 0.0, 0.15021254195851952, 0.04062527831497744]"
200740725,"[0.44263837140908663, 0.0, 0.0, 0.2665256039772174, 0.0, 0.0, 0.0, 0.2908360246136959]"
200741378,"[0.0, 0.0, 0.0, 0.06898860413961305, 0.0, 0.783767672379085, 0.0, 0.147243723481302]"
200741862,"[0.0, 0.6486849208743916, 0.0, 0.06747277176710151, 0.0, 0.0, 0.0, 0.2838423073585069]"
200742019,"[0.0, 0.0, 0.0, 0.22848186231215672, 0.5165760886202325, 0.0, 0.0, 0.2549420490676108]"
200743100,"[0.0, 0.17247196332636486, 0.0, 0.07135337290233948, 0.11348379657052943, 0.0, 0.5947460957180464, 0.04794477148271996]"
200744639,"[0.0, 0.0, 0.0, 0.23205706425535796, 0.11939120530256907, 0.0, 0.532731342149606, 0.1158203882924668]"
200745964,"[0.0, 0.7968672341942731, 0.0, 0.05505052311605643, 0.0, 0.0, 0.1252583751101943, 0.022823867579476156]"
200746529,"[0.0, 0.0, 0.0, 0.8766441822863882, 0.0, 0.0, 0.0, 0.12335581771361187]"
200748528,"[0.0, 0.0, 0.0, 0.5839202862949046, 0.0, 0.0, 0.20311384856633136, 0.2129658651387641]"
200749159,"[0.2634695774621418, 0.0, 0.0, 0.09138693801544773, 0.4281518019510495, 0.0, 0.21699168257136084, 0.0]"
200751666,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200752023,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200753157,"[0.0, 0.0, 0.0, 0.0, 0.8796248809118922, 0.0, 0.0, 0.12037511908810768]"
200755188,"[0.0, 0.0, 0.8739236203413442, 0.12607637965865584, 0.0, 0.0, 0.0, 0.0]"
200755419,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200757193,"[0.0, 0.0, 0.0, 0.36295668429938766, 0.40145902551175605, 0.0, 0.1488442861826624, 0.0867400040061938]"
200757303,"[0.0, 0.0, 0.0, 0.5534867136439308, 0.0, 0.0, 0.44651328635606924, 0.0]"
200759233,"[0.0, 0.0, 0.0, 0.054866263761717556, 0.626056244506949, 0.0, 0.16095850090027614, 0.15811899083105735]"
200761684,"[0.18695818649446072, 0.0, 0.0, 0.05868881222344552, 0.0, 0.6424496017170355, 0.0, 0.11190339956505818]"
200762420,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200762517,"[0.2998795475323626, 0.5415388337834609, 0.0, 0.07128023376072143, 0.0, 0.0, 0.027492530217751117, 0.05980885470570389]"
200767574,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
200768713,"[0.0, 0.0, 0.0, 0.18123832026347161, 0.0, 0.0, 0.0, 0.8187616797365284]"
200769027,"[0.3366699064398732, 0.0, 0.0, 0.09794222048458398, 0.0, 0.0, 0.0, 0.5653878730755428]"
200769527,"[0.20998737788383273, 0.0, 0.7288695057143162, 0.024430152658419645, 0.0, 0.0, 0.03671296374343157, 0.0]"
200771230,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200771952,"[0.0, 0.0, 0.0, 0.88132339580357, 0.0, 0.0, 0.0, 0.11867660419643013]"
200772294,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
200774483,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200774487,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200775533,"[0.0, 0.0, 0.916826175634781, 0.0, 0.0, 0.0, 0.0, 0.08317382436521904]"
200777308,"[0.09948800155180224, 0.0, 0.3912247099672075, 0.052751165371813444, 0.2680711408219208, 0.0, 0.028852752990945765, 0.15961222929631033]"
200778672,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8135283843649984, 0.1864716156350015]"
200780072,"[0.0, 0.0, 0.0, 0.15142847394799608, 0.0, 0.0, 0.1665006562482108, 0.6820708698037931]"
200780284,"[0.0, 0.49865634125048003, 0.0, 0.15113696319397749, 0.0, 0.0, 0.255127330211832, 0.09507936534371059]"
200780942,"[0.0, 0.0, 0.0, 0.3538566200567087, 0.4260807125658479, 0.0, 0.0, 0.22006266737744345]"
200781431,"[0.5601086925113835, 0.0, 0.0, 0.3478863006909603, 0.0, 0.0, 0.0, 0.0920050067976561]"
200782756,"[0.0, 0.32399803861529985, 0.0, 0.02013720365675732, 0.556646671687696, 0.0, 0.0, 0.09921808604024694]"
200784993,"[0.0, 0.0, 0.0, 0.038714201454315644, 0.0, 0.0, 0.39503565826865167, 0.5662501402770327]"
200785495,"[0.0, 0.0, 0.0, 0.7789288714969733, 0.0, 0.0, 0.0, 0.2210711285030266]"
200785521,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200786190,"[0.47771023145474645, 0.0, 0.0, 0.08450403734988313, 0.12455114626805543, 0.15354307758290228, 0.11173718197763276, 0.04795432536677981]"
200786384,"[0.0, 0.0, 0.0, 0.6927255527890596, 0.0, 0.0, 0.0, 0.3072744472109404]"
200787730,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200788020,"[0.0, 0.0, 0.0, 0.4805853386152176, 0.0, 0.0, 0.24332908046917068, 0.2760855809156116]"
200788675,"[0.0, 0.06328759778081698, 0.24329582464782656, 0.3492774159177586, 0.046621285533682257, 0.0, 0.1450329620519272, 0.15248491406798845]"
200791094,"[0.0, 0.2712029652062747, 0.0, 0.08652063259195325, 0.0, 0.3582400405478224, 0.0932630231467672, 0.1907733385071824]"
200791843,"[0.0, 0.0, 0.0, 0.6016002705417776, 0.0, 0.0, 0.0, 0.3983997294582225]"
200791952,"[0.0, 0.37924020479345444, 0.0, 0.06288885652289158, 0.0, 0.0, 0.0, 0.5578709386836541]"
200792808,"[0.19008487931149573, 0.0, 0.0, 0.07304717427818391, 0.16359778819726378, 0.0, 0.14084277379065666, 0.43242738442239986]"
200794289,"[0.0, 0.0, 0.0, 0.15797935944264294, 0.0, 0.0, 0.0, 0.842020640557357]"
200795281,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
200795298,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200795462,"[0.0, 0.0, 0.0, 0.41853468376492414, 0.0, 0.0, 0.26357291257039994, 0.31789240366467597]"
200795609,"[0.46992195953507265, 0.24412060764728674, 0.0, 0.039998875319707465, 0.0, 0.0, 0.1247985643349057, 0.12115999316302747]"
200795948,"[0.22171676201160298, 0.0, 0.0, 0.1210433610776581, 0.259543968844571, 0.210931921324177, 0.027456658154077433, 0.1593073285879135]"
200797621,"[0.0, 0.0, 0.0, 0.821207253165221, 0.0, 0.0, 0.0, 0.17879274683477905]"
200797972,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200798176,"[0.0, 0.0, 0.8303830663065023, 0.017306815473896942, 0.0, 0.0, 0.0, 0.15231011821960064]"
200798331,"[0.0, 0.0, 0.5791440581821934, 0.04291171892094303, 0.0, 0.0, 0.3779442228968636, 0.0]"
200798508,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200799512,"[0.6605486941058182, 0.0, 0.0, 0.09712896554498436, 0.05255943647809445, 0.0, 0.08012431624639132, 0.10963858762471179]"
200799854,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200799982,"[0.0, 0.0, 0.0, 0.03018301272081822, 0.0, 0.827982016397571, 0.08751243197237354, 0.054322538909237224]"
200801499,"[0.13350465113048587, 0.10882878506481777, 0.40333683446288104, 0.10655784743340933, 0.13952523550937057, 0.0, 0.014426615190211559, 0.09382003120882378]"
