고객ID,feature
200056480,"[0.0, 0.0, 0.0, 0.34973647834753, 0.0, 0.0, 0.0, 0.6502635216524699]"
200057240,"[0.4631745764495563, 0.21356005562215788, 0.0, 0.06344156356943112, 0.0, 0.0, 0.0, 0.25982380435885466]"
200057447,"[0.0, 0.0, 0.0, 0.05216875522547299, 0.947831244774527, 0.0, 0.0, 0.0]"
200057919,"[0.0, 0.5610762259678211, 0.0, 0.05085401744092428, 0.1331778815518931, 0.0, 0.07019560390774086, 0.1846962711316206]"
200059757,"[0.4320994677799625, 0.09872734174441829, 0.0, 0.052914260304612326, 0.08651433527116052, 0.11919057653049223, 0.11324939762157032, 0.09730462074778379]"
200061723,"[0.0, 0.0, 0.0, 0.3103490578392218, 0.3019608252309028, 0.0, 0.13469419366595012, 0.2529959232639253]"
200062213,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
200062274,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200062416,"[0.28110232138229374, 0.3667415525483752, 0.0, 0.08125794747298455, 0.08349192968445998, 0.0, 0.13569007558605908, 0.05171617332582735]"
200062672,"[0.0, 0.0, 0.0, 0.6171213449504719, 0.0, 0.0, 0.0, 0.3828786550495281]"
200062673,"[0.0, 0.29073670970083443, 0.0, 0.16499045685681338, 0.0, 0.0, 0.0, 0.5442728334423521]"
200063256,"[0.0, 0.0, 0.0, 0.08342390483131969, 0.0, 0.0, 0.6503052702551431, 0.2662708249135374]"
200064379,"[0.0, 0.0, 0.0, 0.06471559529211064, 0.0, 0.0, 0.9352844047078893, 0.0]"
200066762,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200070537,"[0.8280714884359451, 0.0, 0.0, 0.060129672161945105, 0.0, 0.0, 0.0, 0.11179883940210965]"
200070593,"[0.0, 0.0, 0.21827507868459237, 0.07796499313204559, 0.20716652675588518, 0.3367293311973983, 0.0, 0.15986407023007856]"
200071425,"[0.2823252266724788, 0.0, 0.0, 0.18856160099760083, 0.12833436908431037, 0.0, 0.1590314518363726, 0.2417473514092374]"
200074325,"[0.0, 0.0, 0.0, 0.15936541705499604, 0.840634582945004, 0.0, 0.0, 0.0]"
200076143,"[0.35087812551590114, 0.0, 0.0, 0.4103856033468111, 0.0, 0.0, 0.2387362711372878, 0.0]"
200076899,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
200078150,"[0.13214082658865173, 0.6136000007203712, 0.0, 0.015794721841665128, 0.0, 0.0, 0.0, 0.2384644508493117]"
200079507,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
200080263,"[0.0, 0.0, 0.8014313589313429, 0.023462069514811924, 0.0, 0.0, 0.08500060489127534, 0.09010596666256987]"
200081254,"[0.23619495067515028, 0.0, 0.0, 0.2684710904655492, 0.0, 0.0, 0.0, 0.4953339588593005]"
200082521,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200082641,"[0.0, 0.0, 0.0, 0.5021237205750605, 0.0, 0.0, 0.0, 0.4978762794249394]"
200083863,"[0.0, 0.0, 0.0, 0.41574600517430016, 0.0, 0.0, 0.0, 0.5842539948256998]"
200085063,"[0.0, 0.0, 0.0, 0.30861736997968814, 0.6913826300203119, 0.0, 0.0, 0.0]"
200087928,"[0.0, 0.12388472150366904, 0.0, 0.07877181158893644, 0.2537647654602647, 0.0, 0.23583271037656672, 0.30774599107056316]"
200089410,"[0.0, 0.0, 0.0, 0.28854663069424025, 0.0, 0.0, 0.7114533693057598, 0.0]"
200089958,"[0.0, 0.0, 0.0, 0.30354760234398037, 0.0, 0.0, 0.0, 0.6964523976560195]"
200090605,"[0.7047720385032122, 0.0, 0.0, 0.1295681158011478, 0.0, 0.0, 0.0, 0.16565984569564005]"
200090706,"[0.0, 0.0, 0.2694562889267352, 0.14912443970149072, 0.07838717645322293, 0.20784286622189907, 0.11141418530870692, 0.18377504338794515]"
200091332,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
